GRID,MASS,H1,HE4,H2,C12,C13,N14,N15,O16,,O17,O18,F19,NE20,NE21,NE22,NA20,NA22,MG24,MG25,MG26,AL26,AL27,SI28,SI29,SI30,S32,S33,S34,S36,CL36,CL37,AR36,AR38,AR40,K39,K40,K41,CA40,CA41,CA42,CA43,CA44,CA46,CA48,TI44,TI46,TI47,TI48,TI49,TI50,V48,V49,V50,V51,CR48,CR50,CR52,CR53,CR54,MN53,MN54,MN55,FE52,FE53,FE54,FE55,FE56,FE57,FE58,FE59,FE60,FE61,CO56,CO57,CO58,CO59,CO60,CO61,CO62,NI56,NI57,NI58,NI59,NI60,NI61,NI62,NI63,NI64,NI65,NI66,ZONE,ZONENAME,O16_17,O18_16,MG25_24,MG26_24,CA42_40,CA43_40,CA44_40
   0:    ,0.113958749,2.72237E-06,0.166417836,8.44E-14,6.95685E-07,1.37098E-08,6.08328E-07,8.58245E-07,1.07533E-05,1.22543E-06,8.1124E-10,1.53236E-10,4.36278E-07,1.4337E-05,2.21633E-08,1.82116E-10,0,1.92522E-07,5.97541E-06,1.98593E-05,1.2497E-07,7.99048E-06,8.23535E-06,0.011059695,2.53253E-05,7.03122E-06,0.019903105,6.28396E-05,1.24378E-05,7.10166E-11,2.48307E-07,1.00571E-09,0.005628617,1.28805E-06,2.50202E-11,9.40266E-05,2.48642E-09,5.82833E-11,0.008860661,1.91146E-06,1.15998E-06,1.15578E-07,6.78078E-10,4.972E-13,0,0.00035643,1.97747E-06,2.05262E-06,3.58421E-09,6.04609E-11,2.70428E-11,3.43337E-06,1.10287E-06,9.47572E-09,2.35097E-10,0.001283438,3.37558E-05,8.40975E-08,5.79281E-09,1.50458E-09,8.99008E-05,2.20487E-06,2.52864E-08,0.005661555,0.000275922,0.00513807,9.26838E-05,5.94674E-06,4.34108E-08,1.2297E-09,2.7202E-12,3E-16,2E-16,0.001130991,0.000122677,8.64302E-06,2.32766E-08,3.42078E-10,2.2555E-12,7.503E-13,0.693995499,0.027118016,0.019754444,0.001282166,0.000741358,6.54566E-06,3.5388E-06,5.133E-12,1.6912E-12,1E-16,0,1,0,0.084625791,0.005888694,140.2209362,0.033904137,0.07943021,                     -NaN,                     -NaN
   1:    ,0.065976118,3.5562E-07,7.57198E-06,2.06E-14,3.09519E-05,5.5026E-08,3.94137E-08,1.05328E-06,0.040637913,0.002681132,1.37394E-07,3.9476E-12,1.82827E-09,3.19103E-05,3.02616E-09,1.70879E-09,0,5.89708E-10,0.000180049,4.00031E-06,5.53112E-06,2.3006E-07,0.000195704,0.383713828,0.000293822,4.04442E-05,0.371488955,0.000414804,0.001306181,1.30304E-08,3.50402E-06,1.30261E-06,0.055519066,0.001500125,5.69381E-10,0.000264569,1.62769E-07,1.58823E-08,0.038130717,1.62485E-05,4.0237E-05,7.88552E-08,5.11102E-09,4.9981E-12,8E-16,1.76145E-05,3.12055E-05,4.59815E-07,1.17365E-07,2.47097E-09,8.49305E-10,2.86052E-06,3.82827E-06,1.65349E-07,6.09551E-08,0.000379614,0.000594637,6.7434E-05,1.23743E-07,1.1547E-08,0.000245142,1.40077E-05,2.7021E-07,0.004534408,0.000514392,0.033826695,0.000266599,0.000301468,3.37884E-07,3.24751E-09,7.3114E-12,3.2E-15,2E-16,0.00025952,4.25078E-05,1.1155E-06,2.67184E-08,2.24172E-09,3.9452E-12,1.49E-14,0.058055638,0.001169404,0.002089402,5.90368E-06,6.65697E-06,1.74144E-08,3.01963E-10,5.841E-13,6E-16,0,0,2,0,0.006549041,5.47402E-06,0.226576864,0.215718684,0.263528135,0.009109164,1.09694E-05
   2:    ,0.239913155,1.4987E-08,3.92326E-06,1.17E-14,0.001464212,1.30368E-07,2.99226E-07,1.95419E-05,0.770962817,0.184964122,1.45815E-07,1.27292E-09,2.968E-07,0.004408471,6.65187E-07,4.03356E-07,0,2.24779E-08,0.040968419,0.000211954,0.000173583,1.10089E-05,0.004583549,0.123035615,0.004211015,0.010583717,0.025342838,0.000388704,0.005339236,1.24886E-06,2.71937E-06,3.09811E-06,0.001793771,0.001404443,5.16871E-08,8.18037E-05,3.69212E-07,4.11651E-08,0.000710921,3.24323E-06,2.91755E-05,2.61705E-07,5.69341E-07,2.33504E-08,2.50876E-11,2.20552E-07,1.42818E-05,1.47663E-06,2.30493E-06,2.03565E-07,1.15094E-06,5.44399E-08,7.60175E-07,2.69223E-07,8.60942E-07,2.47821E-08,1.73712E-05,3.46827E-05,2.57008E-07,9.81284E-07,5.91371E-06,6.17445E-07,1.6002E-06,2.92467E-09,6.28626E-08,0.000181688,1.90176E-05,0.000329125,1.374E-05,0.000153205,5.27133E-07,2.76473E-06,2.07367E-09,4.20806E-07,7.62829E-06,4.27934E-06,0.000131255,6.6112E-06,1.60593E-05,2.54803E-08,6.03344E-09,2.36422E-08,1.46018E-05,1.73045E-05,0.000309141,2.56442E-05,0.000260953,2.65031E-06,4.3286E-05,4.63268E-08,2.42529E-07,3,0,0.000279374,9.125E-07,0.040233509,0.022530563,28.00096131,0.024334637,1.64755E-05
   3:    ,0.446798348,1.90239E-09,3.19333E-06,2.39E-14,0.011431046,1.62137E-07,1.19767E-06,3.67651E-05,0.688468837,0.307606739,4.16372E-07,1.23674E-07,2.13252E-05,0.212324684,0.000370119,0.00053388,0,1.54808E-06,0.049019611,0.009452704,0.007079221,2.90476E-05,0.004824834,0.006956334,0.001703154,0.001065915,0.000434169,8.29696E-06,6.09321E-05,3.80264E-06,3.80711E-07,3.33676E-05,2.6365E-05,4.90004E-05,2.61235E-06,9.4093E-06,7.70246E-07,1.55076E-06,2.62804E-05,5.76571E-07,2.7222E-06,1.29159E-06,3.4257E-06,3.79047E-07,1.17545E-07,1.64487E-10,4.20984E-07,4.83255E-07,5.74613E-07,1.1603E-06,2.84857E-06,8.1473E-10,4.80516E-08,4.58642E-08,3.84727E-07,3.7161E-12,1.13683E-08,5.26731E-06,1.26265E-06,8.08022E-06,2.6225E-08,6.24255E-08,6.29284E-06,1.2778E-12,3.03935E-10,2.51637E-06,1.50037E-06,0.000265946,0.000140744,0.00039382,5.67335E-05,3.65596E-05,3.83549E-08,2.56929E-07,7.64624E-07,6.29488E-07,9.13846E-05,2.26818E-05,1.50795E-05,1.66589E-07,9.04676E-11,3.97323E-10,5.85565E-07,6.00437E-07,5.50996E-05,6.38461E-05,9.6326E-05,0.000101171,0.000117436,2.33862E-06,5.33796E-07,4,0,0.000709699,0.000102472,1.815887417,0.908521458,14.78907199,0.041733916,1.78522E-05
   4:    ,0.418697451,5.54818E-10,0.037556566,6.01E-14,0.23692061,1.1292E-06,2.78411E-06,9.51317E-06,0.667003175,0.279272529,5.0069E-08,7.11802E-08,7.60169E-07,0.036909194,0.000508309,0.006904702,0,9.04294E-08,0.001938526,0.004807039,0.003999547,1.05134E-06,7.28847E-05,0.00053284,0.000180803,0.000216739,0.00021617,3.5071E-06,3.79281E-05,4.4779E-06,8.25979E-08,4.54752E-05,2.43948E-05,4.40851E-05,4.84994E-06,2.89162E-06,3.87769E-07,1.08606E-06,2.55945E-05,5.13633E-07,2.29456E-06,8.02788E-07,3.2354E-06,9.49603E-07,1.79E-07,7.7522E-12,3.92055E-07,1.97429E-07,3.92581E-07,7.95322E-07,2.59491E-06,1.68334E-11,1.99002E-10,3.73794E-10,2.73323E-07,3.9E-15,4.40867E-09,5.08209E-06,1.0573E-06,7.73619E-06,1.75816E-09,3.07317E-09,4.8007E-06,3.86E-14,4.83922E-11,2.67795E-06,6.40099E-07,0.000264881,0.00010324,0.000379035,0.000117449,0.000168626,2.97774E-05,3.84817E-08,4.45042E-08,6.61003E-08,5.6922E-05,1.21813E-05,2.42049E-05,8.58192E-06,8.146E-12,4.26094E-11,5.95849E-07,4.23775E-07,4.7631E-05,2.66968E-05,6.10656E-05,5.87707E-05,8.88399E-05,2.559E-05,1.84278E-05,5,0,7.94528E-05,6.79095E-05,34.3597956,20.59489901,12.8521103,0.045341407,1.70789E-05
   5:    ,0.755917273,3.12902E-11,0.922760435,4.5E-15,0.055663144,3.12694E-07,0.002267383,0.000168529,0.004275243,0.00323173,1.36087E-07,0.002702509,1.65012E-05,0.001224879,0.000380152,0.006238564,0,9.33446E-09,0.000564503,0.000149547,0.000191613,1.17161E-06,6.87949E-05,0.000735724,5.60643E-05,4.07562E-05,0.000380658,5.6607E-06,2.20724E-05,3.22468E-07,1.08998E-07,4.74607E-06,8.43083E-05,1.97521E-05,1.52729E-07,3.66798E-06,1.73673E-07,5.01243E-07,6.68797E-05,8.09494E-07,6.61069E-07,1.5003E-07,1.64208E-06,3.95091E-08,1.64733E-07,2.281E-13,2.30695E-07,1.95477E-07,2.08542E-06,5.30351E-07,3.60894E-07,1.70586E-11,3.27705E-11,8.00482E-10,4.22731E-07,5E-16,6.12699E-07,1.52288E-05,1.97638E-06,1.56324E-06,2.78968E-09,2.07341E-09,1.51106E-05,1.78E-14,3.09623E-10,6.32731E-05,3.14163E-06,0.00114213,9.04389E-05,5.56606E-05,1.24389E-05,6.04019E-06,4.24395E-07,4.47267E-08,5.35527E-09,1.86091E-09,4.64338E-06,4.36556E-07,7.9826E-07,8.96295E-08,8.666E-13,7.09443E-10,4.27299E-05,4.35792E-06,2.09736E-05,3.53206E-06,4.98705E-06,1.96135E-06,1.94432E-06,2.26683E-07,8.5878E-08,6,0,0.072352409,695.2539407,2.460050506,2.045727759,1.51636493,0.047139349,1.62205E-05
   6:    ,0.479890591,0.04319157,0.942270937,1.50662E-08,0.000178644,5.42519E-05,0.009003572,3.04102E-07,0.000250872,0.000120391,4.24812E-07,7.04688E-08,2.2351E-09,0.001136292,3.56329E-06,3.49289E-06,0,2.96835E-10,0.000565332,3.40322E-06,0.000135949,1.99502E-05,7.00878E-05,0.000754917,3.97984E-05,2.71064E-05,0.000395907,3.28034E-06,1.86008E-05,8.00195E-08,2.02013E-09,1.39331E-06,9.1266E-05,1.74977E-05,2.81057E-08,3.92951E-06,8.79411E-09,2.98903E-07,7.12776E-05,2.04844E-08,4.99969E-07,1.0704E-07,1.68962E-06,3.35928E-09,1.65991E-07,3.05E-14,2.68812E-07,2.46421E-07,2.50768E-06,1.91043E-07,1.84202E-07,6.3612E-12,4.125E-12,1.05185E-09,4.29256E-07,0,8.1532E-07,1.63951E-05,1.88994E-06,4.85803E-07,4.61475E-10,3.66307E-10,1.47327E-05,1.4E-15,1.686E-10,7.72072E-05,3.87265E-08,0.001259441,3.00701E-05,4.08168E-06,6.0029E-10,1.976E-13,0,1.7616E-08,5.48538E-10,2.78659E-10,4.0105E-06,2.67554E-09,8.8445E-12,1.9439E-12,4.45E-14,2.79492E-10,5.51068E-05,8.60812E-08,2.19801E-05,9.93251E-07,3.15013E-06,1.52767E-09,8.27979E-07,1.0104E-10,2.97E-14,7,0,1.527813264,0.208403852,0.052718306,1.418432616,1.000253244,0.049038687,1.58635E-05
   7:    ,8.435362277,0.651254174,0.333743508,9.52794E-11,0.001403987,8.99011E-05,0.003011064,1.23757E-06,0.005407424,0.045613578,4.67215E-06,9.54384E-06,3.6444E-07,0.001167909,5.18978E-06,7.31574E-05,0,1.4E-15,0.000565001,6.42669E-05,9.60613E-05,2.83663E-08,6.64561E-05,0.000754997,3.96998E-05,2.70977E-05,0.000395998,3.21999E-06,1.85999E-05,7.99996E-08,9E-16,1.36999E-06,9.12995E-05,1.74999E-05,2.81043E-08,3.92998E-06,6.23849E-09,2.97998E-07,7.12997E-05,0,4.99997E-07,1.06999E-07,1.68999E-06,3.35998E-09,1.65999E-07,0,2.68999E-07,2.46999E-07,2.50999E-06,1.87999E-07,1.83999E-07,1E-16,1E-16,1.04999E-09,4.28998E-07,0,8.16996E-07,1.63999E-05,1.88999E-06,4.79998E-07,5.9E-15,4.7E-15,1.46999E-05,0,2.3E-15,7.72996E-05,7.45E-14,0.001259994,2.95998E-05,3.99998E-06,2E-16,0,0,2.335E-13,6.8E-15,3.6E-15,4.00998E-06,1E-15,1E-16,0,0,3.7E-15,5.51997E-05,4.4E-15,2.19999E-05,9.71995E-07,3.14998E-06,2E-16,8.26996E-07,0,0,8,0,1.009622594,0.997119003,0.995804829,1.002841884,1,0.050307742,1.58263E-05
wind:    ,2.208720411,0.704468685,0.280487238,3.46392E-08,0.002023965,9.76092E-05,0.001379865,1.91201E-06,0.006432544,0.014207692,3.37151E-06,1.33835E-05,4.5361E-07,0.001169765,3.19395E-06,9.10282E-05,0,0,0.000564997,7.32874E-05,8.67574E-05,1.63261E-09,6.64049E-05,0.000754996,3.96998E-05,2.70996E-05,0.000395998,3.21998E-06,1.85999E-05,7.99996E-08,0,1.36999E-06,9.12995E-05,1.74999E-05,2.8104E-08,3.92998E-06,6.24116E-09,2.97998E-07,7.12997E-05,0,4.99997E-07,1.06999E-07,1.68999E-06,3.35998E-09,1.65999E-07,0,2.68999E-07,2.46999E-07,2.50999E-06,1.87999E-07,1.83999E-07,0,0,1.04999E-09,4.28998E-07,0,8.16996E-07,1.63999E-05,1.88999E-06,4.79998E-07,0,0,1.46999E-05,0,0,7.72996E-05,0,0.001259994,2.95998E-05,3.99998E-06,0,0,0,0,0,0,4.00998E-06,0,0,0,0,0,5.51997E-05,0,2.19999E-05,9.71995E-07,3.14998E-06,0,8.26996E-07,0,0,9,Wind,0.612456199,1.175441172,1.135582058,0.905717609,1.000000034,1.000000028,1.000000033
,13.16523437,,,,,,,,,0.837699138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
