"GRID","MASS","TEMPERATURE","NT1","H1","HE4","H2","C12","C13","N14","N15","O16","O17","O18","F19","NE20","NE21","NE22","NA20","NA22","NA23","MG24","MG25","MG26","AL26","AL27","SI28","SI29","SI30","S32","S33","S34","S36","CL36","CL37","AR36","AR38","AR40","K39","K40","K41","CA40","CA41","CA42","CA43","CA44","CA46","CA48","TI44","TI46","TI47","TI48","TI49","TI50","V48","V49","V50","V51","CR48","CR50","CR52","CR53","CR54","MN53","MN54","MN55","FE52","FE53","FE54","FE55","FE56","FE57","FE58","FE59","FE60","FE61","CO56","CO57","CO58","CO59","CO60","CO61","CO62","NI56","NI57","NI58","NI59","NI60","NI61","NI62","NI64","NI65","NI66","CU56","CU57","CU58","CU62","ZN60","ZN61","ZN62","GA62","RB85","RB87","SR84","SR86","SR87","SR88","BA130","BA132","BA134","BA135","BA136","BA137","BA138","ND142","ND143","ND144","ND145","ND146","ND148","ND150","SM144","SM148","SM149","SM150","SM154","ZONE","ZONENAME","CR54_52","SR84_86","SR87_86","SR88_86","S33_32","S34_32","S36_32"
   0:    ,       0.2121158278249864,71689530.8448600170000000,       0.0000000000000000,       0.0000000950390231,       0.0956521865209196,       0.0000000000000003,       0.0000023597505759,       0.0000000032820906,       0.0000000399649155,       0.0000001102271712,       0.0000057159326998,       0.0000000000383032,       0.0000000002622338,       0.0000001073621310,       0.0000062180976867,       0.0000000066540823,       0.0000000004287600,       0.0000000000000000,       0.0000002035115913,       0.0000002467162651,       0.0000176518362748,       0.0000090888214830,       0.0000003173972113,       0.0000034091475452,       0.0000165468936931,       0.0258208419829929,       0.0000464727826203,       0.0000047594748964,       0.0428861033517889,       0.0000800999856881,       0.0000023521442030,       0.0000000001160562,       0.0000005186427963,       0.0000000008600128,       0.0106475137019553,       0.0000003983184390,       0.0000000000181983,       0.0000803801489323,       0.0000000041356351,       0.0000000000350909,       0.0134839758104487,       0.0000017650823844,       0.0000009066313839,       0.0000000395205830,       0.0000000004190704,       0.0000000000002521,       0.0000000000000000,       0.0002605050846034,       0.0000003046163858,       0.0000006425628618,       0.0000000054462755,       0.0000000001567861,       0.0000000000640031,       0.0000032616905964,       0.0000014186739840,       0.0000000255964108,       0.0000000004826604,       0.0010931098446075,       0.0000717248162493,       0.0000002052577839,       0.0000000165809201,       0.0000000033942990,       0.0001576576277667,       0.0000059562748678,       0.0000000433033033,       0.0077405705768928,       0.0004656995625437,       0.0109310522183068,       0.0001276599108407,       0.0000072389811252,       0.0000000600942983,       0.0000000018265305,       0.0000000000037630,       0.0000000000000005,       0.0000000000000003,       0.0014141161820350,       0.0001299015431708,       0.0000127801004959,       0.0000000278314831,       0.0000000005127935,       0.0000000000041186,       0.0000000000018146,       0.7114170295499745,       0.0239762592869934,       0.0240774817652200,       0.0010169558745744,       0.0006173785387212,       0.0000061721623465,       0.0000038404498910,       0.0000000000022570,       0.0000000000000001,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000250731722143,       0.0070261871869628,       0.0002054133028799,       0.0053670205691376,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000033,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,      1,      0.00000000,       5.5272771323899157,*************************,       3.1501565417468029,       0.0000002335428540,      25.7440813860096010,                     -NaN,                     -NaN
   1:    ,       0.2399131548354321,57379321.1823068710000000,       0.0000000000000000,       0.0000000009126204,       0.0000057841826113,       0.0000000000000012,       0.0000282304429999,       0.0000000173098727,       0.0000000841818261,       0.0000020650311219,       0.0716039885812114,       0.0000000045856302,       0.0000000000122408,       0.0000000040536238,       0.0000536451030281,       0.0000000048654258,       0.0000000031895398,       0.0000000000000000,       0.0000000007909582,       0.0000010121686371,       0.0002802007566114,       0.0000021816468992,       0.0000079479277469,       0.0000003423288167,       0.0002707380858481,       0.4221076882754202,       0.0004195944689532,       0.0001030419455099,       0.3557788153970671,       0.0005901422124712,       0.0035471289094792,       0.0000000341694266,       0.0000045445298445,       0.0000033782234448,       0.0461762344373275,       0.0038031011847134,       0.0000000013733474,       0.0004812208351574,       0.0000003821659460,       0.0000000395525341,       0.0283347799662606,       0.0000255078403897,       0.0000957758179642,       0.0000002294874748,       0.0000000140668767,       0.0000000000193948,       0.0000000000000033,       0.0000102633577523,       0.0000703563619994,       0.0000011605102619,       0.0000002931749007,       0.0000000056319607,       0.0000000019096700,       0.0000023834000193,       0.0000034751663466,       0.0000002483859914,       0.0000001490605467,       0.0001817352019360,       0.0006906189899298,       0.0001221192632739,       0.0000002356134275,       0.0000000216029893,       0.0002027488200313,       0.0000167313524536,       0.0000005189289483,       0.0020672414245273,       0.0002880304065069,       0.0311076971325205,       0.0003596372627041,       0.0005004772476003,       0.0000006974572015,       0.0000000063858768,       0.0000000000162640,       0.0000000000000090,       0.0000000000000007,       0.0001921602354287,       0.0000474137628691,       0.0000011620617600,       0.0000000476362220,       0.0000000043120577,       0.0000000000096928,       0.0000000000000428,       0.0249093348008768,       0.0006226152832794,       0.0015595016151570,       0.0000071621781817,       0.0000104114875035,       0.0000000353565502,       0.0000000006177536,       0.0000000000000016,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000638351,       0.0000000000651666,       0.0000000000029385,       0.0000000003428950,       0.0000000000000000,       0.0000000000000001,       0.0000000000000000,       0.0000000000007886,       0.0000000000003854,       0.0000000000000047,       0.0000000000000761,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,      2,      0.00000000,       0.1964728397137859,  400173.0180436793000000,       0.0072281930378361,       0.0043927194282197,       0.2272834232180989,       0.3631848961139119,       0.0001539421652083
   2:    ,       0.6997467016128200,45071213.2987564360000000,       0.0000000000000000,       0.0000000000225580,       0.0000018815566836,       0.0000000000000027,       0.0012522812752877,       0.0000000793452899,       0.0000003509320588,       0.0000154077686097,       0.6352872506592837,       0.0000000221538710,       0.0000000010688692,       0.0000002786158561,       0.0049051467009675,       0.0000004708498042,       0.0000003131242058,       0.0000000000000000,       0.0000000265179078,       0.0000338227193967,       0.0306522003581307,       0.0001371783316784,       0.0001256065157929,       0.0000113342294466,       0.0034013035056694,       0.1890882200724317,       0.0033212668535473,       0.0048397714691329,       0.0929468717338781,       0.0010942994579012,       0.0085404708738166,       0.0000010664580929,       0.0000068355124702,       0.0000095623352479,       0.0092478012986538,       0.0060675203310837,       0.0000002724047932,       0.0005613768270579,       0.0000043073059293,       0.0000003847453561,       0.0035860088452657,       0.0000369372866828,       0.0001521942526206,       0.0000025953224353,       0.0000033636164432,       0.0000000257417616,       0.0000000000754007,       0.0000013112281517,       0.0000426916833538,       0.0000040712207981,       0.0000027758013381,       0.0000001773278147,       0.0000008832401568,       0.0000002340247427,       0.0000018937062926,       0.0000002866990282,       0.0000005688172037,       0.0000000438038527,       0.0000254705013524,       0.0000155622074028,       0.0000001825843428,       0.0000008580640412,       0.0000038942365131,       0.0000005776191556,       0.0000009785643865,       0.0000000026946221,       0.0000000494324323,       0.0001218467817343,       0.0000175628908839,       0.0002905068279818,       0.0000120805498038,       0.0000884458689897,       0.0000002951769213,       0.0000013743991209,       0.0000000008388689,       0.0000004363053788,       0.0000135483469772,       0.0000054597241045,       0.0000761300715119,       0.0000045487928033,       0.0000057234713485,       0.0000000174303806,       0.0000000037049411,       0.0000000446251587,       0.0000397040955219,       0.0000301836772621,       0.0004302168354600,       0.0000307384257814,       0.0002249133131306,       0.0000465599624027,       0.0000000428789620,       0.0000001311308256,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000001757150263,       0.0000000000011326,       0.0000000000017039,       0.0000000037013381,       0.0000000000000000,       0.0000002637766865,       0.0000004526190670,       0.0000001756053456,       0.0000004050764539,       0.0000000835151530,       0.0000013638471803,       0.0000000041142884,       0.0000000034268561,       0.0000000035144307,       0.0000000000907195,       0.0000000046012040,       0.0000000000903915,       0.0000000097527608,       0.0000000018556355,       0.0000000000064197,       0.0000000000001157,       0.0000000000000006,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000055405852,       0.0000000000002711,       0.0000000000000066,       0.0000000000000005,       0.0000000000000000,      3,      0.00000000,       7.2977824059694241,       8.8822809162798233,       1.2346194705708209,       2.0815331326814981,       1.9180034447614831,       0.3886224446197324,       0.0001629575598168
   3:    ,       2.5340826979921807,30712137.6836131180000000,       0.0000000000000000,       0.0000000000198906,       0.0000013678810215,       0.0000000000000079,       0.0079811754635155,       0.0000000898990053,       0.0000005882876857,       0.0000283852120043,       0.7388266105932514,       0.0000001005458129,       0.0000000587898469,       0.0000122207100047,       0.1551975111956130,       0.0001140774992061,       0.0001905085532106,       0.0000000000000000,       0.0000009289625194,       0.0018873721088040,       0.0573819186139156,       0.0070482678239573,       0.0067648552168548,       0.0000211442228616,       0.0065511975356603,       0.0106920340894915,       0.0026625013472448,       0.0016107485744527,       0.0005240645505171,       0.0000086980505910,       0.0000759613546346,       0.0000041287317876,       0.0000004449158450,       0.0000374457216644,       0.0000242882061515,       0.0000653111277444,       0.0000029354252433,       0.0000163297107036,       0.0000012362328089,       0.0000017896517434,       0.0000211593207874,       0.0000004932228447,       0.0000030022677514,       0.0000014687823283,       0.0000045358837472,       0.0000003886300416,       0.0000001099551368,       0.0000000002516185,       0.0000008016585755,       0.0000007465102723,       0.0000008026999471,       0.0000013624924540,       0.0000036781395984,       0.0000000009286520,       0.0000000543398035,       0.0000000566741365,       0.0000004664315296,       0.0000000000038942,       0.0000000075007179,       0.0000035569829887,       0.0000008370355430,       0.0000079641291366,       0.0000000143598757,       0.0000000301644465,       0.0000027562432790,       0.0000000000006254,       0.0000000000423995,       0.0000003757751721,       0.0000002502047665,       0.0001320724043754,       0.0000728551431853,       0.0003393270815073,       0.0000392582602627,       0.0000178915486722,       0.0000000119306027,       0.0000001072421675,       0.0000003330598739,       0.0000003265431522,       0.0000911735742409,       0.0000263966857576,       0.0000058079452358,       0.0000000471478204,       0.0000000000295396,       0.0000000000755322,       0.0000000572731584,       0.0000002001736312,       0.0000736164718040,       0.0000919638707500,       0.0001487853460693,       0.0002022062259439,       0.0000021326833392,       0.0000007336321370,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000210358934,       0.0000000000001221,       0.0000000000003657,       0.0000000006848167,       0.0000000000000000,       0.0000000603663276,       0.0000006933377931,       0.0000000000749045,       0.0000002348226523,       0.0000002560847128,       0.0000017888146001,       0.0000000000000000,       0.0000000000000010,       0.0000000000928039,       0.0000000000527000,       0.0000000027424874,       0.0000000028677363,       0.0000000648263215,       0.0000000033355404,       0.0000000001252124,       0.0000000010271089,       0.0000000000238350,       0.0000000005250610,       0.0000000000153934,       0.0000000000004088,       0.0000000000031053,       0.0000000001582120,       0.0000000000096102,       0.0000000002048177,       0.0000000000929169,      4,      0.00000000,      79.5968145765946820,       0.0058961835792701,       1.6642584369151434,       1.3459223455442171,       1.9584317810876815,       0.3449893208825446,       0.0001314855132756
   4:    ,       1.3944952124796428,24250932.6698827890000000,       0.0000000000000000,       0.0000000000581068,       0.0412679794012797,       0.0000000000000215,       0.2201569098934992,       0.0000009866207620,       0.0000013923474031,       0.0000075438066593,       0.6901625530378178,       0.0000000187904683,       0.0000000430276691,       0.0000007209501449,       0.0276556401914228,       0.0001566778922768,       0.0062049430549194,       0.0000000000000000,       0.0000000499846129,       0.0002062849522971,       0.0014506918959968,       0.0045777954806002,       0.0049472085443975,       0.0000013650928806,       0.0000861403487561,       0.0004989496336740,       0.0001738526211351,       0.0002338636978879,       0.0002096521626471,       0.0000037591907577,       0.0000322836089904,       0.0000040265526638,       0.0000000896351620,       0.0000544397960099,       0.0000213307460018,       0.0000510343179921,       0.0000037961711215,       0.0000042593224357,       0.0000006008798980,       0.0000014132864164,       0.0000239736964084,       0.0000004763544984,       0.0000030742903492,       0.0000010497248863,       0.0000043735210727,       0.0000003990712600,       0.0000001464075855,       0.0000000000063293,       0.0000007220319420,       0.0000003277620294,       0.0000006592817579,       0.0000009977276584,       0.0000030756016520,       0.0000000000286363,       0.0000000001478250,       0.0000000002793588,       0.0000002626765656,       0.0000000000000024,       0.0000000018903138,       0.0000051199629441,       0.0000009232911627,       0.0000082960305431,       0.0000000005206348,       0.0000000012762574,       0.0000029688547275,       0.0000000000000144,       0.0000000000204347,       0.0000015442196304,       0.0000005228617112,       0.0002435073732478,       0.0000863546356574,       0.0004130634351430,       0.0000823029702440,       0.0000647448010554,       0.0000022796532753,       0.0000000361402737,       0.0000000236302749,       0.0000000468152540,       0.0000786852836105,       0.0000119081166503,       0.0000042718109086,       0.0000002926919093,       0.0000000000029485,       0.0000000000134492,       0.0000002689493282,       0.0000002065108466,       0.0000835358666099,       0.0000481913440903,       0.0001020836722480,       0.0001412019187399,       0.0000060964584524,       0.0000020989665386,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000031987946,       0.0000000000000124,       0.0000000000000194,       0.0000000009413960,       0.0000000000000000,       0.0000000344112004,       0.0000000502544174,       0.0000000000168285,       0.0000001006038702,       0.0000000647770792,       0.0000004256627247,       0.0000000000000000,       0.0000000000000001,       0.0000000007938246,       0.0000000003356732,       0.0000000035329273,       0.0000000031603757,       0.0000000521258825,       0.0000000017388391,       0.0000000002601079,       0.0000000008215207,       0.0000000001889624,       0.0000000008050361,       0.0000000002556194,       0.0000000001441985,       0.0000000000000081,       0.0000000001486782,       0.0000000000277701,       0.0000000001019991,       0.0000000001385441,      5,      0.00000000,      58.4247900616156740,       0.0016729688579347,       1.7063293391119749,      15.4414598875706730,       2.1999868030026297,       0.9641454164898405,       0.0000750407184832
   5:    ,       1.0046363358551389,18674919.6139161920000000,       0.0000000000000000,       0.0000000000110128,       0.9543573832824116,       0.0000000000000007,       0.0190208723818873,       0.0000000061322326,       0.0000032382541175,       0.0000041485768548,       0.0075206636102786,       0.0000000680748472,       0.0007674485123828,       0.0000040686717015,       0.0011367589606655,       0.0000510884048042,       0.0131686580576510,       0.0000000000000000,       0.0000000056979242,       0.0001868161758934,       0.0005541442281593,       0.0000405450441236,       0.0001630550008591,       0.0000002175998910,       0.0000735577206154,       0.0007412857883963,       0.0000528132704831,       0.0000362015286026,       0.0003846553044127,       0.0000060874439119,       0.0000202779794748,       0.0000001955122038,       0.0000001480262304,       0.0000047924549795,       0.0000860103315237,       0.0000189547038724,       0.0000000528126621,       0.0000037519491584,       0.0000002152315806,       0.0000003771107656,       0.0000681154255995,       0.0000010301227407,       0.0000006601397555,       0.0000001332051059,       0.0000016348475778,       0.0000000088140157,       0.0000001650034362,       0.0000000000002486,       0.0000002438164975,       0.0000001992458026,       0.0000021431847233,       0.0000005746437877,       0.0000002657713619,       0.0000000000115623,       0.0000000000308630,       0.0000000007966924,       0.0000004441172947,       0.0000000000000003,       0.0000006126535463,       0.0000155931600859,       0.0000020100717759,       0.0000012684487123,       0.0000000026356468,       0.0000000019580005,       0.0000164186798551,       0.0000000000000106,       0.0000000001815721,       0.0000650205055025,       0.0000042793230073,       0.0011736185921021,       0.0000944789362812,       0.0000303019448182,       0.0000018234712006,       0.0000002447975170,       0.0000000050379527,       0.0000000290443587,       0.0000000052177366,       0.0000000015297806,       0.0000044241215436,       0.0000004411225727,       0.0000001811313832,       0.0000000062337872,       0.0000000000006230,       0.0000000004808237,       0.0000432425790367,       0.0000070316809117,       0.0000220640299483,       0.0000037099705499,       0.0000041119261996,       0.0000010925881855,       0.0000000321112549,       0.0000000041848666,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000148978,       0.0000000000000001,       0.0000000000000000,       0.0000000000048493,       0.0000000000000000,       0.0000000078956210,       0.0000000065782235,       0.0000000000808971,       0.0000000103857924,       0.0000000052068267,       0.0000000514673494,       0.0000000000016921,       0.0000000000043864,       0.0000000010314228,       0.0000000005096976,       0.0000000022523652,       0.0000000018787461,       0.0000000132784730,       0.0000000009751907,       0.0000000002410065,       0.0000000008436606,       0.0000000001822383,       0.0000000007470830,       0.0000000001940821,       0.0000000001522800,       0.0000000000205060,       0.0000000001891555,       0.0000000000315124,       0.0000000001547736,       0.0000000001721318,      6,      0.00000000,       2.9684964653825268,       0.1301638809910858,       0.7790866287838065,       0.6540196195712332,       1.9475830894416351,       0.2561938900119860,       0.0001053777041551
   6:    ,       0.2997253183541213,18041909.4698069730000000,       0.0000000000000000,       0.0629191195935891,       0.9221775271428646,       0.0000000000000829,       0.0004546575742959,       0.0000598916368635,       0.0088511656153604,       0.0000051755219700,       0.0002481215867065,       0.0000003013507977,       0.0000239241964159,       0.0000000658514730,       0.0011316857513107,       0.0000017454170575,       0.0002100901043931,       0.0000000000000000,       0.0000000442896021,       0.0001758751313710,       0.0005598706578074,       0.0000099018383188,       0.0001295262042742,       0.0000244407555680,       0.0000725051818083,       0.0007548592375515,       0.0000398710616589,       0.0000271563411437,       0.0003958378141020,       0.0000033013935871,       0.0000186025197601,       0.0000000803897509,       0.0000000032196119,       0.0000014131294986,       0.0000912362135703,       0.0000175045953117,       0.0000000281539137,       0.0000039281840225,       0.0000000102205658,       0.0000002983238053,       0.0000712605077842,       0.0000000278569469,       0.0000005009361392,       0.0000001071423653,       0.0000016893038907,       0.0000000033591195,       0.0000001659846330,       0.0000000000000519,       0.0000002687347965,       0.0000002461289237,       0.0000025057141146,       0.0000001932687306,       0.0000001845267250,       0.0000000000107196,       0.0000000000072400,       0.0000000010535965,       0.0000004293076007,       0.0000000000000001,       0.0000008141844836,       0.0000163910791515,       0.0000018903640473,       0.0000004900300293,       0.0000000007889896,       0.0000000006217276,       0.0000147424874392,       0.0000000000000034,       0.0000000002802820,       0.0000771417972415,       0.0000000714934262,       0.0012589895783449,       0.0000304206193509,       0.0000041877145136,       0.0000000011671203,       0.0000000000016813,       0.0000000000000002,       0.0000000296039052,       0.0000000009450830,       0.0000000004729949,       0.0000040077582888,       0.0000000056436460,       0.0000000000200619,       0.0000000000033048,       0.0000000000001075,       0.0000000004705814,       0.0000550411387188,       0.0000001377311940,       0.0000219778898897,       0.0000010071246913,       0.0000031537071694,       0.0000008289019078,       0.0000000001795690,       0.0000000000000738,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000121276,       0.0000000000000000,       0.0000000000000000,       0.0000000000026230,       0.0000000000000000,       0.0000000117478228,       0.0000000049573759,       0.0000000003166261,       0.0000000059336143,       0.0000000041432619,       0.0000000500032933,       0.0000000000170069,       0.0000000000167025,       0.0000000004275805,       0.0000000011122668,       0.0000000013825423,       0.0000000019561492,       0.0000000126064178,       0.0000000009436168,       0.0000000004172492,       0.0000000008402377,       0.0000000002905028,       0.0000000006164711,       0.0000000002065388,       0.0000000002044520,       0.0000000000327258,       0.0000000001295176,       0.0000000001434803,       0.0000000000921023,       0.0000000002574332,      7,      0.00000000,       1.0608319797044656,       0.9976090508811216,       0.9794307547760646,       0.9659983347829102,       1.0257335483682746,       0.2281232203828734,       0.0001133223311225
   7:    ,       7.5502697378312256,  256761.3267095575300000,       0.0000000000000000,       0.5313113648189322,       0.4538434825605858,       0.0000000010641213,       0.0007731273899979,       0.0000744512792437,       0.0054808423429169,       0.0000006324561409,       0.0034512214079192,       0.0000033325816456,       0.0000048447124528,       0.0000001776870133,       0.0011616448316662,       0.0000070193006241,       0.0000414738752903,       0.0000000000000000,       0.0000000000025298,       0.0000991336297726,       0.0005650362232573,       0.0000440379613083,       0.0001148364795355,       0.0000018272880722,       0.0000669284822503,       0.0007549999471840,       0.0000396998283694,       0.0000270928163711,       0.0003959977884266,       0.0000032201529324,       0.0000185999060981,       0.0000000799996178,       0.0000000000021017,       0.0000013700103688,       0.0000912994895807,       0.0000174999055077,       0.0000000281024895,       0.0000039299773808,       0.0000000062597431,       0.0000002980093662,       0.0000712996215134,       0.0000000000247975,       0.0000004999971353,       0.0000001069994572,       0.0000016899908623,       0.0000000033599817,       0.0000001659991366,       0.0000000000000000,       0.0000002689982292,       0.0000002469976352,       0.0000025099837242,       0.0000001880038467,       0.0000001839993649,       0.0000000000000095,       0.0000000000000060,       0.0000000010499953,       0.0000004289970689,       0.0000000000000000,       0.0000008169927705,       0.0000163999081426,       0.0000018899902666,       0.0000004800069340,       0.0000000000006764,       0.0000000000005419,       0.0000146999290223,       0.0000000000000000,       0.0000000000002569,       0.0000772994331494,       0.0000000001342970,       0.0012599926128249,       0.0000296006222148,       0.0000040001351196,       0.0000000000018155,       0.0000000000000004,       0.0000000000000000,       0.0000000000264267,       0.0000000000007916,       0.0000000000004132,       0.0000040100161851,       0.0000000000085680,       0.0000000000000150,       0.0000000000000027,       0.0000000000000000,       0.0000000000004187,       0.0000551995474218,       0.0000000001241112,       0.0000219998463162,       0.0000009720336820,       0.0000031499829181,       0.0000008269962146,       0.0000000000003856,       0.0000000000000001,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000107,       0.0000000000000000,       0.0000000000000000,       0.0000000000000023,       0.0000000000000000,       0.0000000117999023,       0.0000000049594483,       0.0000000003219918,       0.0000000058399956,       0.0000000041305099,       0.0000000499997226,       0.0000000000174994,       0.0000000000169997,       0.0000000004120091,       0.0000000011299747,       0.0000000013600130,       0.0000000019599863,       0.0000000125999386,       0.0000000009419957,       0.0000000004210034,       0.0000000008379976,       0.0000000002939958,       0.0000000006120000,       0.0000000002079981,       0.0000000002059980,       0.0000000000328997,       0.0000000001240055,       0.0000000001529815,       0.0000000000825176,       0.0000000002599972,      8,      0.00000000,       1.0384758786520134,       1.0237981817506392,       0.9885099579099371,       0.9772746349512076,       1.0000233693007019,       0.2695809383677247,       0.0001349170686772
wind:    ,       9.1588479835765799,       0.0000000000000000,       0.0000000000000000,       0.6646015346981135,       0.3204226379579770,       0.0000000135348317,       0.0019221089715818,       0.0000703137626602,       0.0021164303660870,       0.0000018843194352,       0.0057619170124806,       0.0000028678333671,       0.0000120267050575,       0.0000003941791561,       0.0011678908404948,       0.0000042965380230,       0.0000805094223737,       0.0000000000000000,       0.0000000000000000,       0.0000541477601597,       0.0005650053386174,       0.0000665072889065,       0.0000934422647945,       0.0000002566475396,       0.0000665182082580,       0.0007549970169030,       0.0000396998222109,       0.0000270980312504,       0.0003959979235963,       0.0000032200347480,       0.0000185999053275,       0.0000000799996084,       0.0000000000000000,       0.0000013700089235,       0.0000912995182661,       0.0000174999093628,       0.0000000281022920,       0.0000039299800023,       0.0000000062583848,       0.0000002980085897,       0.0000712996455656,       0.0000000000000000,       0.0000004999974466,       0.0000001069994762,       0.0000016899911811,       0.0000000033599825,       0.0000001659991479,       0.0000000000000000,       0.0000002689985630,       0.0000002469984652,       0.0000025099860707,       0.0000001880004869,       0.0000001839991491,       0.0000000000000000,       0.0000000000000000,       0.0000000010499930,       0.0000004289982041,       0.0000000000000000,       0.0000008169950455,       0.0000163999138410,       0.0000018899904167,       0.0000004800001927,       0.0000000000000000,       0.0000000000000000,       0.0000146999544638,       0.0000000000000000,       0.0000000000000000,       0.0000772995623824,       0.0000000000000000,       0.0012599933138609,       0.0000296000724287,       0.0000040000147124,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000040100202797,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000551996749128,       0.0000000000000001,       0.0000219998792229,       0.0000009720050582,       0.0000031499838493,       0.0000008269965336,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000000000000,       0.0000000117999569,       0.0000000049594909,       0.0000000003219963,       0.0000000058400060,       0.0000000041304634,       0.0000000499997451,       0.0000000000174997,       0.0000000000169998,       0.0000000004120092,       0.0000000011299865,       0.0000000013600012,       0.0000000019599885,       0.0000000125999377,       0.0000000009419962,       0.0000000004210038,       0.0000000008379967,       0.0000000002939970,       0.0000000006119987,       0.0000000002079985,       0.0000000002059985,       0.0000000000328998,       0.0000000001240024,       0.0000000001529933,       0.0000000000825058,       0.0000000002599979,      9,Wind,       1.0384609323955980,       1.0238108307343383,       0.9884970846773389,       0.9772733446601067,       0.9999863246841941,       0.9999998901234337,       0.9999998700805851
